Code,Name
580,Aabenraa Kommune
851,Aalborg Kommune
751,Aarhus Kommune
492,Ærø Kommune
165,Albertslund Kommune
201,Allerød Kommune
312,asdasdwqd
151,Ballerup Kommune
530,Billund Kommune
400,Bornholms Kommune
153,Brøndby Kommune
810,Brønderslev Kommune
155,Dragør Kommune
240,Egedal Kommune
561,Esbjerg Kommune
430,Faaborg-Midtfyn Kommune
563,Fanø Kommune
710,Favrskov Kommune
320,Faxe Kommune
210,Fredensborg Kommune
607,Fredericia Kommune
147,Frederiksberg Kommune
813,Frederikshavn Kommune
250,Frederikssund Kommune
190,Furesø Kommune
157,Gentofte Kommune
159,Gladsaxe Kommune
161,Glostrup Kommune
253,Greve Kommune
270,Gribskov Kommune
376,Guldborgsund Kommune
510,Haderslev Kommune
260,Halsnæs Kommune
766,Hedensted Kommune
217,Helsingør Kommune
163,Herlev Kommune
657,Herning Kommune
219,Hillerød Kommune
860,Hjørring Kommune
169,Høje-Taastrup Kommune
316,Holbæk Kommune
661,Holstebro Kommune
615,Horsens Kommune
223,Hørsholm Kommune
167,Hvidovre Kommune
756,Ikast-Brande Kommune
183,Ishøj Kommune
849,Jammerbugt Kommune
326,Kalundborg Kommune
440,Kerteminde Kommune
101,Københavns Kommune
259,Køge Kommune
621,Kolding Kommune
825,Læsø Kommune
482,Langeland Kommune
350,Lejre Kommune
665,Lemvig Kommune
360,Lolland Kommune
173,Lyngby-Taarbæk Kommune
846,Mariagerfjord Kommune
410,Middelfart Kommune
773,Morsø Kommune
370,Næstved Kommune
707,Norddjurs Kommune
480,Nordfyns Kommune
450,Nyborg Kommune
727,Odder Kommune
461,Odense Kommune
306,Odsherred Kommune
730,Randers Kommune
840,Rebild Kommune
760,Ringkøbing-Skjern Kommune
329,Ringsted Kommune
175,Rødovre Kommune
265,Roskilde Kommune
230,Rudersdal Kommune
741,Samsø Kommune
740,Silkeborg Kommune
746,Skanderborg Kommune
779,Skive Kommune
330,Slagelse Kommune
269,Solrød Kommune
540,Sønderborg Kommune
340,Sorø Kommune
336,Stevns Kommune
671,Struer Kommune
479,Svendborg Kommune
706,Syddjurs Kommune
185,Tårnby Kommune
420,Test Kommune
787,Thisted Kommune
550,Tønder Kommune
187,Vallensbæk Kommune
573,Varde Kommune
575,Vejen Kommune
630,Vejle Kommune
820,Vesthimmerlands Kommune
791,Viborg Kommune
390,Vordingborg Kommune
